Date	Time	---	cm/s
980811	17:28	862	6.84
980811	17:38	862	4.89
980811	17:48	862	6.36
980811	17:58	862	3.91
980811	18:08	862	2.44
980811	18:18	862	3.42
980811	18:28	862	3.91
980811	18:38	862	4.4
980811	18:48	862	3.42
980811	18:58	862	0.49
980811	19:08	862	1.96
980811	19:18	862	2.44
980811	19:28	862	3.91
980811	19:38	862	7.82
980811	19:48	862	7.82
980811	19:58	862	4.4
980811	20:08	862	4.89
980811	20:18	862	3.42
980811	20:28	862	3.91
980811	20:38	862	5.87
980811	20:48	862	5.87
980811	20:58	862	6.36
980811	21:08	862	9.29
980811	21:18	862	8.31
980811	21:28	862	4.89
980811	21:38	862	3.42
980811	21:48	862	6.36
980811	21:58	862	105.6
980811	22:08	862	197.52
980811	22:18	862	159.38
980811	22:28	862	190.67
980811	22:38	862	160.36
980811	22:48	862	156.45
980811	22:58	862	169.65
980811	23:08	862	186.76
980811	23:18	862	196.54
980811	23:28	862	193.12
980811	23:38	862	140.31
980811	23:48	862	185.78
980811	23:58	862	176.49
980812	0:08	862	176.98
980812	0:18	862	190.18
980812	0:28	862	182.85
980812	0:38	862	202.89
980812	0:48	862	203.87
980812	0:58	862	182.85
980812	1:08	862	184.32
980812	1:18	862	154
980812	1:28	862	160.85
980812	1:38	862	180.89
980812	1:48	862	201.92
980812	1:58	862	181.87
980812	2:08	862	158.4
980812	2:18	862	166.23
980812	2:28	862	152.05
980812	2:38	862	181.87
980812	2:48	862	161.34
980812	2:58	862	191.65
980812	3:08	862	50.85
980812	3:18	862	4.4
980812	3:28	862	12.71
980812	3:38	862	8.8
980812	3:48	862	9.29
980812	3:58	862	8.31
980812	4:08	862	5.87
980812	4:18	862	6.84
980812	4:28	862	7.82
980812	4:38	862	10.76
980812	4:48	862	6.36
980812	4:58	862	8.8
980812	5:08	862	7.33
980812	5:18	862	8.8
980812	5:28	862	8.31
980812	5:38	862	8.31
980812	5:48	862	5.87
980812	5:58	862	11.24
980812	6:08	862	7.82
980812	6:18	862	10.27
980812	6:28	862	9.29
980812	6:38	862	8.31
980812	6:48	862	8.8
980812	6:58	862	9.29
980812	7:08	862	4.4
980812	7:18	862	2.44
980812	7:28	862	3.91
980812	7:38	862	4.4
980812	7:48	862	1.96
980812	7:58	862	1.47
980812	8:08	862	0.49
980812	8:18	862	4.4
980812	8:28	862	0.98
980812	8:38	862	1.47
980812	8:48	862	7.33
980812	8:58	862	3.91
980812	9:08	862	4.89
980812	9:18	862	4.4
980812	9:28	862	3.42
980812	9:38	862	6.84
980812	9:48	862	6.84
980812	9:58	862	4.89
980812	10:08	862	2.93
980812	10:18	862	3.91
